iter	Passed	Remaining
0	3	3873
1	6	2998
2	8	2730
3	10	2653
4	12	2584
5	14	2456
6	16	2338
7	17	2225
8	19	2200
9	22	2200
10	24	2214
11	25	2137
12	27	2068
13	28	2009
14	29	1954
15	31	1921
16	32	1879
17	34	1875
18	38	1963
19	40	2007
20	42	1979
21	44	1978
22	46	1964
23	47	1928
24	48	1893
25	50	1875
26	51	1850
27	52	1829
28	53	1806
29	55	1786
30	56	1764
31	57	1749
32	59	1731
33	60	1712
34	61	1693
35	62	1672
36	63	1655
37	64	1639
38	67	1658
39	68	1648
40	69	1633
41	71	1621
42	72	1612
43	73	1605
44	75	1597
45	76	1587
46	77	1576
47	78	1563
48	80	1554
49	82	1560
50	83	1554
51	84	1546
52	85	1535
53	87	1528
54	88	1521
55	90	1517
56	91	1510
57	92	1502
58	93	1491
59	94	1482
60	96	1477
61	97	1480
62	99	1477
63	100	1470
64	101	1462
65	103	1459
66	104	1456
67	105	1451
68	106	1442
69	108	1436
70	109	1429
71	110	1423
72	112	1426
73	113	1425
74	115	1425
75	116	1422
76	118	1419
77	119	1416
78	121	1412
79	122	1407
80	123	1401
81	124	1394
82	125	1388
83	127	1387
84	129	1389
85	130	1388
86	131	1384
87	133	1381
88	134	1377
89	136	1377
90	137	1372
91	138	1367
92	139	1362
93	140	1357
94	141	1352
95	143	1355
96	145	1352
97	146	1350
98	147	1345
99	149	1342
100	150	1339
101	152	1339
102	153	1334
103	154	1329
104	155	1324
105	156	1320
106	157	1317
107	159	1319
108	161	1317
109	162	1314
110	163	1311
111	164	1308
112	166	1306
113	167	1303
114	168	1300
115	170	1296
116	171	1291
117	172	1287
118	174	1289
119	175	1290
120	177	1288
121	178	1284
122	179	1282
123	181	1280
124	182	1278
125	183	1275
126	185	1271
127	186	1267
128	187	1264
129	188	1262
130	190	1263
131	191	1261
132	193	1258
133	194	1255
134	195	1252
135	196	1251
136	198	1249
137	199	1245
138	200	1243
139	201	1239
140	203	1236
141	204	1235
142	206	1237
143	209	1246
144	211	1248
145	213	1246
146	214	1243
147	215	1240
148	216	1238
149	217	1235
150	219	1232
151	221	1234
152	222	1231
153	223	1229
154	225	1227
155	226	1225
156	227	1223
157	229	1222
158	230	1219
159	231	1215
160	232	1211
161	233	1208
162	234	1206
163	236	1207
164	238	1205
165	239	1202
166	240	1200
167	241	1198
168	243	1196
169	244	1195
170	245	1192
171	246	1188
172	248	1186
173	249	1183
174	250	1182
175	252	1182
176	253	1180
177	255	1178
178	256	1177
179	257	1174
180	259	1173
181	260	1171
182	261	1168
183	262	1165
184	263	1162
185	265	1159
186	267	1161
187	269	1164
188	270	1161
189	272	1161
190	273	1160
191	275	1157
192	276	1156
193	277	1153
194	278	1150
195	279	1147
196	280	1145
197	282	1145
198	284	1143
199	285	1142
200	286	1140
201	288	1138
202	289	1136
203	290	1135
204	292	1133
205	293	1131
206	294	1129
207	295	1126
208	297	1125
209	299	1125
210	300	1124
211	303	1129
212	305	1127
213	306	1125
214	307	1123
215	308	1121
216	310	1119
217	311	1116
218	312	1115
219	314	1115
220	316	1113
221	317	1113
222	319	1114
223	322	1117
224	324	1118
225	325	1116
226	327	1115
227	329	1116
228	331	1114
229	332	1112
230	334	1113
231	335	1111
232	337	1109
233	338	1108
234	339	1106
235	341	1104
236	342	1101
237	345	1107
