id,jer_sent,ela_sent,kra_sent,geo_sent,jer_lines,ela_lines,kra_lines,geo_lines,location,rating
S01E01,0.0626,0.0265,-0.0468,0.0638,250,53,7,98,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'MICHIGAN', 'Queens', 'Queens']",7.6
S01E02,0.0182,0.0638,0.1067,0.0573,110,57,18,68,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'MARYLAND', 'MARYLAND', 'MASSACHUSETTS', 'CONNECTICUT']",7.7
S01E03,0.0354,0.0053,0.0388,-0.0078,102,19,24,51,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'UNITED KINGDOM']",7.6
S01E04,0.0412,-0.0092,0.0205,-0.017,102,29,18,44,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '4 Pennsylvania Pl', 'EUROPE', 'GERMANY']",7.4
S02E01,0.0212,0.0037,0.0809,0.0116,107,23,37,55,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'George’s Apartment', 'Elaine’s Apartment']",7.7
S02E02,0.0167,-0.0273,0.006999999999999999,-0.11800000000000001,90,31,23,12,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pines Of Mar Gables', 'Kramer’s Apartment', 'Central Park', 'NEW YORK', 'FLORIDA', 'Brooklyn', 'ARIZONA', 'NEW JERSEY']",8.0
S02E03,-0.0323,0.0384,0.0981,0.002,97,33,35,53,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'SOUTH KOREA', 'Pendant Publishing', 'MARYLAND']",8.4
S02E04,0.0737,0.1449,0.1126,0.0179,92,15,9,89,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '350 Fifth Ave', 'UNITED KINGDOM', 'Long Island']",8.5
S02E05,0.0406,0.0201,0.0763,-0.0055,102,51,29,43,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'PENNSYLVANIA', 'MICHIGAN', 'NORWAY', '4 Pennsylvania Pl']",7.9
S02E06,0.0695,0.0408,0.0087,-0.018000000000000002,87,41,30,56,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pines Of Mar Gables', 'CALIFORNIA', 'Pendant Publishing']",8.1
S02E07,0.0575,0.0363,-0.0011,0.0547,83,22,32,83,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', 'NEW YORK']",8.4
S02E08,0.0494,-0.0241,0.0324,0.0484,60,18,18,59,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Brooklyn', 'OHIO', 'TEXAS']",8.0
S02E09,0.0307,0.0781,0.1167,0.0187,134,82,19,52,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'NEW YORK', 'Elaine’s Apartment', 'VERMONT']",8.3
S02E10,0.0103,-0.0011,0.0186,-0.0247,75,40,29,43,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'MASSACHUSETTS', 'Brooklyn', 'Elaine’s Apartment', 'CONNECTICUT', 'NEW YORK', 'Queens', 'MASSACHUSETTS', 'NEW JERSEY', 'Jerry’s Apartment', 'MASSACHUSETTS']",7.6
S02E11,0.0396,0.01,,0.0178,75,60,0,48,"['Jerry’s Apartment', 'Monk’s Café', 'The Improv', '323 Fifth Ave', 'MASSACHUSETTS', 'Long Island', 'Florida', 'Pines Of Mar Gables', 'Long Island', 'Florida']",8.7
